STANDARD_NAME	HALLMARK_APOPTOSIS
SYSTEMATIC_NAME	M5902
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	ADD1,AIFM3,ANKH,ANXA1,APP,ATF3,AVPR1A,BAX,BCAP31,BCL10,BCL2L1,BCL2L10,BCL2L11,BCL2L2,BGN,BID,BIK,BIRC3,BMF,BMP2,BNIP3L,BRCA1,BTG2,BTG3,CASP1,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CASP9,CAV1,CCNA1,CCND1,CCND2,CD14,CD2,CD38,CD44,CD69,CDC25B,CDK2,CDKN1A,CDKN1B,CFLAR,CLU,CREBBP,CTH,CTNNB1,CYLD,DAP,DAP3,DCN,DDIT3,DFFA,DIABLO,DNAJA1,DNAJC3,DNM1L,DPYD,EBP,EGR3,EMP1,ENO2,ERBB2,ERBB3,EREG,ETF1,F2,F2R,FAS,FASLG,FDXR,FEZ1,GADD45A,GADD45B,GCH1,GNA15,GPX1,GPX3,GPX4,GSN,GSR,GSTM1,GUCY2D,H1F0,HGF,HMGB2,HMOX1,HSPB1,IER3,IFITM3,IFNB1,IFNGR1,IGF2R,IGFBP6,IL18,IL1A,IL1B,IL6,IRF1,ISG20,JUN,KRT18,LEF1,LGALS3,LMNA,LPPR4,LUM,MADD,MCL1,MGMT,MMP2,NEDD9,NEFH,PAK1,PDCD4,PDGFRB,PEA15,PLAT,PLCB2,PMAIP1,PPP2R5B,PPP3R1,PPT1,PRF1,PSEN1,PSEN2,PTK2,RARA,RELA,RETSAT,RHOB,RHOT2,RNASEL,ROCK1,SAT1,SATB1,SC5DL,SLC20A1,SMAD7,SOD1,SOD2,SPTAN1,SQSTM1,TAP1,TGFB2,TGFBR3,TIMP1,TIMP2,TIMP3,TNF,TNFRSF12A,TNFSF10,TOP2A,TSPO,TXNIP,VDAC2,WEE1,XIAP
GENE_SYMBOLS	ADD1,AIFM3,ANKH,ANXA1,APP,ATF3,AVPR1A,BAX,BCAP31,BCL10,BCL2L1,BCL2L10,BCL2L11,BCL2L2,BGN,BID,BIK,BIRC3,BMF,BMP2,BNIP3L,BRCA1,BTG2,BTG3,CASP1,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CASP9,CAV1,CCNA1,CCND1,CCND2,CD14,CD2,CD38,CD44,CD69,CDC25B,CDK2,CDKN1A,CDKN1B,CFLAR,CLU,CREBBP,CTH,CTNNB1,CYLD,DAP,DAP3,DCN,DDIT3,DFFA,DIABLO,DNAJA1,DNAJC3,DNM1L,DPYD,EBP,EGR3,EMP1,ENO2,ERBB2,ERBB3,EREG,ETF1,F2,F2R,FAS,FASLG,FDXR,FEZ1,GADD45A,GADD45B,GCH1,GNA15,GPX1,GPX3,GPX4,GSN,GSR,GSTM1,GUCY2D,H1-0,HGF,HMGB2,HMOX1,HSPB1,IER3,IFITM3,IFNB1,IFNGR1,IGF2R,IGFBP6,IL18,IL1A,IL1B,IL6,IRF1,ISG20,JUN,KRT18,LEF1,LGALS3,LMNA,PLPPR4,LUM,MADD,MCL1,MGMT,MMP2,NEDD9,NEFH,PAK1,PDCD4,PDGFRB,PEA15,PLAT,PLCB2,PMAIP1,PPP2R5B,PPP3R1,PPT1,PRF1,PSEN1,PSEN2,PTK2,RARA,RELA,RETSAT,RHOB,RHOT2,RNASEL,ROCK1,SAT1,SATB1,SC5D,SLC20A1,SMAD7,SOD1,SOD2,SPTAN1,SQSTM1,TAP1,TGFB2,TGFBR3,TIMP1,TIMP2,TIMP3,TNF,TNFRSF12A,TNFSF10,TOP2A,TSPO,TXNIP,VDAC2,WEE1,XIAP
